occ,wgt
4220,2562061.98
1021,2068119.589999999
5740,1848331.490000001
8990,1447481.659999999
3603,1415786.849999998
4251,1203247.219999999
2360,1069550.230000001
4055,949624.7999999997
0705,909552.5099999997
3090,903115.8699999999
2014,675836.6300000005
6442,661676.2500000003
3601,643418.9600000001
3870,598735.4299999998
0051,577870.0900000001
9142,547279.15
0052,546919.1799999997
6410,519629.5700000001
6305,454631.8900000001
2640,429591.1199999996
7330,423091.14
3421,379089.1300000001
2722,369935.3999999998
2002,364065.8899999998
8225,330044.99
9122,318363.9100000001
2634,308179.36
4521,305707.0399999999
2006,299651.8999999999
3802,295446.96
1555,294430.35
4621,285607.3599999999
3323,270399.7700000001
9121,259291.58
5710,252649.57
3655,252446.53
1305,247691.8
2555,242268.09
4330,228379.1699999999
5522,222808.81
7640,220392.01
2004,208986.5
2350,194555.39
3960,189242.23
2752,183597.91
3401,168678.58
4622,157941.92
1825,154613.15
3424,152967.4899999999
3422,148371.68
0102,134816.91
3550,134756.75
3423,122412.29
2001,121466.56
3402,110424.99
4522,104855.34
3322,104096.73
1545,101656.61
1032,101180.7
2170,100401.06
0101,100153.81
2025,93125.39999999997
1551,92230.58000000002
9141,91048.7
3725,88953.56000000001
2012,87774.54000000001
1980,87397.42000000001
2861,84443.52
5730,82284.31000000001
1022,78923.77000000002
2635,76764.15000000001
9760,74808.25999999999
5521,74762.47
4252,71916.25
3430,67931.97
6441,67202.44
1031,66770.46000000001
2751,66526.09
2011,63278.87999999999
5720,62155.18
9430,62117.70999999999
1822,60461.12000000001
3321,59660.08
2723,59466.99999999999
3605,58589.19
1745,54009.61
2180,51265.42000000001
9570,47662.74999999999
6850,46649.78000000001
8365,46517.75
3330,44658.71
1541,44099.04
2636,42632.85000000001
3946,42322.64999999999
2633,42174.12
3324,39922.37999999999
6950,39510.01
3100,38517.27999999999
2003,37049.2
6115,36132.09
2632,35954.8
2865,34900.41
8555,29306.97
1750,27048.25
4255,26898.03
3261,25322.95
2721,23351.18
2755,22592.39
2862,20723.09
4525,20668.15
2631,17965.58
7100,17903.17
4461,17560.77
2005,17100.76
8335,15961.99
1306,14861.41
9265,14660.68
2013,14373.68
3801,13110.57
3270,12107.51
9840,10549.78
8465,9423.950000000001
8025,8546.040000000001
7925,7934.34
1821,6712.17
